human	chicken
ENSG00000176390	ENSGALG00000003284
ENSG00000238622	ENSGALG00000025672
ENSG00000127837	ENSGALG00000011445
ENSG00000169021	ENSGALG00000025819
ENSG00000109805	ENSGALG00000014425
ENSG00000115866	ENSGALG00000012355
ENSG00000169446	ENSGALG00000027199
ENSG00000102901	ENSGALG00000028900
ENSG00000103061	ENSGALG00000000804
ENSG00000113889	ENSGALG00000008678
ENSG00000175711	ENSGALG00000001433
ENSG00000148444	ENSGALG00000007900
ENSG00000154589	ENSGALG00000027598
ENSG00000232119	ENSGALG00000008517
ENSG00000029364	ENSGALG00000009438
ENSG00000198862	ENSGALG00000015804
ENSG00000124615	ENSGALG00000010051
ENSG00000139726	ENSGALG00000003795
ENSG00000157184	ENSGALG00000010681
ENSG00000166130	ENSGALG00000026284
ENSG00000117597	ENSGALG00000009887
ENSG00000139971	ENSGALG00000012089
ENSG00000121351	ENSGALG00000013168
ENSG00000253710	ENSGALG00000017022
ENSG00000099800	ENSGALG00000028937
ENSG00000112406	ENSGALG00000013824
ENSG00000131469	ENSGALG00000002837
ENSG00000067533	ENSGALG00000009615
ENSG00000163705	ENSGALG00000023035
ENSG00000068784	ENSGALG00000009990
ENSG00000106868	ENSGALG00000015677
ENSG00000147231	ENSGALG00000008990
ENSG00000168434	ENSGALG00000006156
ENSG00000175538	ENSGALG00000022696
ENSG00000173402	ENSGALG00000027710
ENSG00000170893	ENSGALG00000008490
ENSG00000198356	ENSGALG00000026226
ENSG00000109576	ENSGALG00000009655
ENSG00000144120	ENSGALG00000011593
ENSG00000169598	ENSGALG00000000976
ENSG00000167272	ENSGALG00000007124
ENSG00000104299	ENSGALG00000016631
ENSG00000173660	ENSGALG00000017380
ENSG00000105954	ENSGALG00000011022
ENSG00000131697	ENSGALG00000000966
ENSG00000158042	ENSGALG00000002605
ENSG00000120458	ENSGALG00000021444
ENSG00000136715	ENSGALG00000002070
ENSG00000175110	ENSGALG00000005367
ENSG00000197771	ENSGALG00000009455
ENSG00000127483	ENSGALG00000010079
ENSG00000156876	ENSGALG00000005302
ENSG00000189159	ENSGALG00000007965
ENSG00000243749	ENSGALG00000002517
ENSG00000149547	ENSGALG00000001018
ENSG00000169519	ENSGALG00000012153
ENSG00000158793	ENSGALG00000007585
ENSG00000144741	ENSGALG00000007467
ENSG00000242028	ENSGALG00000013916
ENSG00000187094	ENSGALG00000011940
ENSG00000163945	ENSGALG00000015717
ENSG00000080802	ENSGALG00000011682
ENSG00000103047	ENSGALG00000000624
ENSG00000009844	ENSGALG00000013810
ENSG00000147536	ENSGALG00000026581
ENSG00000104142	ENSGALG00000008496
ENSG00000159111	ENSGALG00000014387
ENSG00000008952	ENSGALG00000009379
ENSG00000161328	ENSGALG00000006879
ENSG00000162779	ENSGALG00000004173
ENSG00000147316	ENSGALG00000016332
ENSG00000138363	ENSGALG00000003570
ENSG00000164209	ENSGALG00000000253
ENSG00000149089	ENSGALG00000007829
ENSG00000178445	ENSGALG00000015053
ENSG00000164362	ENSGALG00000013183
ENSG00000164902	ENSGALG00000014691
ENSG00000198933	ENSGALG00000026866
ENSG00000155636	ENSGALG00000009202
ENSG00000164244	ENSGALG00000014703
ENSG00000181610	ENSGALG00000005559
ENSG00000178927	ENSGALG00000001607
ENSG00000243587	ENSGALG00000015276
ENSG00000157005	ENSGALG00000007361
ENSG00000130348	ENSGALG00000015338
ENSG00000166343	ENSGALG00000002597
ENSG00000168297	ENSGALG00000007052
ENSG00000177692	ENSGALG00000026710
ENSG00000158286	ENSGALG00000000710
ENSG00000165698	ENSGALG00000003509
ENSG00000136021	ENSGALG00000011569
ENSG00000101940	ENSGALG00000026731
ENSG00000163964	ENSGALG00000006408
ENSG00000113460	ENSGALG00000003373
ENSG00000169752	ENSGALG00000002952
ENSG00000101347	ENSGALG00000001231
ENSG00000182022	ENSGALG00000009704
ENSG00000103187	ENSGALG00000017644
ENSG00000015475	ENSGALG00000013039
ENSG00000089248	ENSGALG00000023510
ENSG00000175985	ENSGALG00000009431
ENSG00000203756	ENSGALG00000023015
ENSG00000215193	ENSGALG00000019286
ENSG00000148308	ENSGALG00000003441
ENSG00000140307	ENSGALG00000003793
ENSG00000144867	ENSGALG00000026302
ENSG00000185515	ENSGALG00000005383
ENSG00000008130	ENSGALG00000001359
ENSG00000105186	ENSGALG00000004671
ENSG00000198612	ENSGALG00000003938
ENSG00000140451	ENSGALG00000009032
ENSG00000100983	ENSGALG00000003281
ENSG00000146263	ENSGALG00000015513
ENSG00000115540	ENSGALG00000008128
ENSG00000162757	ENSGALG00000001378
ENSG00000003402	ENSGALG00000008240
ENSG00000103175	ENSGALG00000005503
ENSG00000105865	ENSGALG00000023661
ENSG00000129691	ENSGALG00000003233
ENSG00000163449	ENSGALG00000011493
ENSG00000185068	ENSGALG00000013733
ENSG00000100479	ENSGALG00000012237
ENSG00000117477	ENSGALG00000015221
ENSG00000100056	ENSGALG00000005885
ENSG00000205707	ENSGALG00000014031
ENSG00000116863	ENSGALG00000002304
ENSG00000168676	ENSGALG00000002109
ENSG00000138944	ENSGALG00000028130
ENSG00000207949	ENSGALG00000024498
ENSG00000100557	ENSGALG00000012095
ENSG00000165861	ENSGALG00000009338
ENSG00000116459	ENSGALG00000001452
ENSG00000107669	ENSGALG00000009502
ENSG00000250722	ENSGALG00000014857
ENSG00000122406	ENSGALG00000005922
ENSG00000202394	ENSGALG00000025627
ENSG00000119616	ENSGALG00000010275
ENSG00000138768	ENSGALG00000010878
ENSG00000117505	ENSGALG00000005858
ENSG00000177728	ENSGALG00000008023
ENSG00000135624	ENSGALG00000016088
ENSG00000178966	ENSGALG00000012592
ENSG00000152253	ENSGALG00000010900
ENSG00000149600	ENSGALG00000006630
ENSG00000118181	ENSGALG00000007699
ENSG00000140943	ENSGALG00000003293
ENSG00000165644	ENSGALG00000005000
ENSG00000137274	ENSGALG00000012824
ENSG00000145781	ENSGALG00000002308
ENSG00000168884	ENSGALG00000015666
ENSG00000170502	ENSGALG00000010932
ENSG00000070367	ENSGALG00000012105
ENSG00000092931	ENSGALG00000001777
ENSG00000211452	ENSGALG00000010736
ENSG00000188266	ENSGALG00000003063
ENSG00000162441	ENSGALG00000002616
ENSG00000165152	ENSGALG00000015545
ENSG00000106245	ENSGALG00000004705
ENSG00000164124	ENSGALG00000026253
ENSG00000116670	ENSGALG00000004640
ENSG00000135974	ENSGALG00000016796
ENSG00000170085	ENSGALG00000003377
ENSG00000150477	ENSGALG00000002419
ENSG00000120262	ENSGALG00000012971
ENSG00000168936	ENSGALG00000015710
ENSG00000169919	ENSGALG00000002542
ENSG00000127804	ENSGALG00000014901
ENSG00000130997	ENSGALG00000015692
ENSG00000084073	ENSGALG00000000855
ENSG00000141013	ENSGALG00000000540
ENSG00000243725	ENSGALG00000010787
ENSG00000140326	ENSGALG00000009156
ENSG00000119596	ENSGALG00000010277
ENSG00000175792	ENSGALG00000005931
ENSG00000106636	ENSGALG00000013133
ENSG00000118507	ENSGALG00000002732
ENSG00000171530	ENSGALG00000004353
ENSG00000104714	ENSGALG00000016355
ENSG00000107874	ENSGALG00000005687
ENSG00000166847	ENSGALG00000006088
ENSG00000138036	ENSGALG00000009954
ENSG00000134864	ENSGALG00000022758
ENSG00000184708	ENSGALG00000006898
ENSG00000132591	ENSGALG00000003995
ENSG00000127993	ENSGALG00000009467
ENSG00000155330	ENSGALG00000017363
ENSG00000196666	ENSGALG00000028710
ENSG00000131591	ENSGALG00000027363
ENSG00000112514	ENSGALG00000001620
ENSG00000139977	ENSGALG00000012098
ENSG00000137804	ENSGALG00000008584
ENSG00000124789	ENSGALG00000012720
ENSG00000116096	ENSGALG00000000067
ENSG00000135778	ENSGALG00000011015
ENSG00000087299	ENSGALG00000012282
ENSG00000221500	ENSGALG00000025337
ENSG00000076043	ENSGALG00000007024
ENSG00000183569	ENSGALG00000011867
ENSG00000180116	ENSGALG00000027157
ENSG00000183160	ENSGALG00000004893
ENSG00000126067	ENSGALG00000026421
ENSG00000120860	ENSGALG00000012760
ENSG00000157045	ENSGALG00000002835
ENSG00000110768	ENSGALG00000006281
ENSG00000173452	ENSGALG00000010865
ENSG00000167716	ENSGALG00000026822
ENSG00000101417	ENSGALG00000003042
ENSG00000151470	ENSGALG00000010108
ENSG00000108587	ENSGALG00000004326
ENSG00000180667	ENSGALG00000023958
ENSG00000140105	ENSGALG00000011228
ENSG00000068097	ENSGALG00000005516
ENSG00000167863	ENSGALG00000007926
ENSG00000100413	ENSGALG00000011947
ENSG00000179008	ENSGALG00000020358
ENSG00000216490	ENSGALG00000003389
ENSG00000203872	ENSGALG00000028653
ENSG00000155034	ENSGALG00000004611
ENSG00000197603	ENSGALG00000003631
ENSG00000119185	ENSGALG00000016421
ENSG00000107960	ENSGALG00000008304
ENSG00000214128	ENSGALG00000026974
ENSG00000128059	ENSGALG00000013728
ENSG00000120802	ENSGALG00000011504
ENSG00000110871	ENSGALG00000007185
ENSG00000178110	ENSGALG00000010218
ENSG00000085721	ENSGALG00000002862
ENSG00000198937	ENSGALG00000010151
ENSG00000214517	ENSGALG00000017312
ENSG00000179988	ENSGALG00000009610
ENSG00000070950	ENSGALG00000008368
ENSG00000075415	ENSGALG00000011514
ENSG00000112983	ENSGALG00000003177
ENSG00000184785	ENSGALG00000007133
ENSG00000113161	ENSGALG00000014948
ENSG00000082516	ENSGALG00000003937
ENSG00000090054	ENSGALG00000013493
ENSG00000100216	ENSGALG00000019316
ENSG00000103932	ENSGALG00000008624
ENSG00000107618	ENSGALG00000005978
ENSG00000162373	ENSGALG00000010505
ENSG00000163576	ENSGALG00000011267
ENSG00000100883	ENSGALG00000023135
ENSG00000141519	ENSGALG00000007042
ENSG00000213204	ENSGALG00000015810
ENSG00000187164	ENSGALG00000009258
ENSG00000163378	ENSGALG00000013406
ENSG00000177225	ENSGALG00000005133
ENSG00000199161	ENSGALG00000018276
ENSG00000100902	ENSGALG00000010060
ENSG00000163879	ENSGALG00000001996
ENSG00000014824	ENSGALG00000014247
ENSG00000207635	ENSGALG00000021774
ENSG00000205858	ENSGALG00000010803
ENSG00000163743	ENSGALG00000023335
ENSG00000175643	ENSGALG00000007155
ENSG00000108395	ENSGALG00000005084
ENSG00000149218	ENSGALG00000017205
ENSG00000115942	ENSGALG00000008234
ENSG00000153814	ENSGALG00000011126
ENSG00000182087	ENSGALG00000002029
ENSG00000132664	ENSGALG00000008749
ENSG00000100522	ENSGALG00000012414
ENSG00000126653	ENSGALG00000004186
ENSG00000203724	ENSGALG00000002224
ENSG00000099821	ENSGALG00000001377
ENSG00000156170	ENSGALG00000019447
ENSG00000170855	ENSGALG00000007199
ENSG00000119844	ENSGALG00000008828
ENSG00000197006	ENSGALG00000007044
ENSG00000162039	ENSGALG00000005411
ENSG00000060642	ENSGALG00000000324
ENSG00000145545	ENSGALG00000013063
ENSG00000114098	ENSGALG00000001179
ENSG00000115368	ENSGALG00000002460
ENSG00000110169	ENSGALG00000022586
ENSG00000163519	ENSGALG00000015362
ENSG00000183273	ENSGALG00000007376
ENSG00000087470	ENSGALG00000012929
ENSG00000141376	ENSGALG00000005295
ENSG00000121380	ENSGALG00000011544
ENSG00000143819	ENSGALG00000009291
ENSG00000096717	ENSGALG00000002761
ENSG00000155087	ENSGALG00000027719
ENSG00000105171	ENSGALG00000023673
ENSG00000181004	ENSGALG00000011837
ENSG00000115998	ENSGALG00000013881
ENSG00000180182	ENSGALG00000016238
ENSG00000036054	ENSGALG00000015273
ENSG00000254901	ENSGALG00000014581
ENSG00000163608	ENSGALG00000015182
ENSG00000198700	ENSGALG00000000397
ENSG00000049130	ENSGALG00000011206
ENSG00000183527	ENSGALG00000016062
ENSG00000169621	ENSGALG00000008745
ENSG00000114127	ENSGALG00000002706
ENSG00000149635	ENSGALG00000004340
ENSG00000100722	ENSGALG00000010622
ENSG00000143155	ENSGALG00000015246
ENSG00000125538	ENSGALG00000000534
ENSG00000119446	ENSGALG00000028167
ENSG00000115514	ENSGALG00000016763
ENSG00000100150	ENSGALG00000006766
ENSG00000156931	ENSGALG00000006704
ENSG00000197816	ENSGALG00000003320
ENSG00000172116	ENSGALG00000015902
ENSG00000106399	ENSGALG00000010700
ENSG00000100162	ENSGALG00000011914
ENSG00000091947	ENSGALG00000025964
ENSG00000138604	ENSGALG00000028191
ENSG00000112146	ENSGALG00000016320
ENSG00000102760	ENSGALG00000016954
ENSG00000176438	ENSGALG00000011076
ENSG00000165475	ENSGALG00000017135
ENSG00000125484	ENSGALG00000026104
ENSG00000088356	ENSGALG00000006464
ENSG00000183597	ENSGALG00000002056
ENSG00000124383	ENSGALG00000003906
ENSG00000104131	ENSGALG00000008187
ENSG00000108666	ENSGALG00000003434
ENSG00000196290	ENSGALG00000008226
ENSG00000106628	ENSGALG00000026234
ENSG00000104472	ENSGALG00000028342
ENSG00000112308	ENSGALG00000013628
ENSG00000122547	ENSGALG00000012116
ENSG00000141002	ENSGALG00000000129
ENSG00000124237	ENSGALG00000027484
ENSG00000170638	ENSGALG00000008705
ENSG00000143436	ENSGALG00000025814
ENSG00000121289	ENSGALG00000004756
ENSG00000213246	ENSGALG00000000944
ENSG00000168811	ENSGALG00000009574
ENSG00000011201	ENSGALG00000016616
ENSG00000100401	ENSGALG00000011966
ENSG00000164197	ENSGALG00000014743
ENSG00000160298	ENSGALG00000007487
ENSG00000203965	ENSGALG00000010998
ENSG00000206043	ENSGALG00000027574
ENSG00000093217	ENSGALG00000006173
ENSG00000124429	ENSGALG00000006919
ENSG00000163528	ENSGALG00000006328
ENSG00000006712	ENSGALG00000027238
ENSG00000105982	ENSGALG00000006387
ENSG00000198042	ENSGALG00000001663
ENSG00000113318	ENSGALG00000015589
ENSG00000164306	ENSGALG00000010636
ENSG00000090581	ENSGALG00000006441
ENSG00000162522	ENSGALG00000003539
ENSG00000116133	ENSGALG00000010798
ENSG00000112039	ENSGALG00000002561
ENSG00000160124	ENSGALG00000014413
ENSG00000123999	ENSGALG00000011234
ENSG00000207568	ENSGALG00000018329
ENSG00000198522	ENSGALG00000016505
ENSG00000165626	ENSGALG00000006682
ENSG00000100353	ENSGALG00000012529
ENSG00000198301	ENSGALG00000011543
ENSG00000105185	ENSGALG00000004648
ENSG00000183977	ENSGALG00000019635
ENSG00000145839	ENSGALG00000006329
ENSG00000171798	ENSGALG00000007007
ENSG00000197114	ENSGALG00000006092
ENSG00000117899	ENSGALG00000006403
ENSG00000103051	ENSGALG00000002603
ENSG00000100304	ENSGALG00000014167
ENSG00000114573	ENSGALG00000014800
ENSG00000078902	ENSGALG00000006697
ENSG00000182446	ENSGALG00000004583
ENSG00000149716	ENSGALG00000007556
ENSG00000179270	ENSGALG00000009007
ENSG00000122481	ENSGALG00000027943
ENSG00000120370	ENSGALG00000003329
ENSG00000166454	ENSGALG00000013486
ENSG00000118804	ENSGALG00000027872
ENSG00000143486	ENSGALG00000000856
ENSG00000111850	ENSGALG00000015812
ENSG00000215217	ENSGALG00000027654
ENSG00000133114	ENSGALG00000016973
ENSG00000143194	ENSGALG00000019211
ENSG00000241945	ENSGALG00000022802
ENSG00000145220	ENSGALG00000015000
ENSG00000132196	ENSGALG00000002681
ENSG00000106609	ENSGALG00000002629
ENSG00000188523	ENSGALG00000003545
ENSG00000139344	ENSGALG00000011414
ENSG00000048544	ENSGALG00000009890
ENSG00000125818	ENSGALG00000000259
ENSG00000169762	ENSGALG00000014486
ENSG00000158636	ENSGALG00000000830
ENSG00000106803	ENSGALG00000013569
ENSG00000122507	ENSGALG00000012188
ENSG00000107738	ENSGALG00000004673
ENSG00000179761	ENSGALG00000026392
ENSG00000113013	ENSGALG00000002363
ENSG00000104356	ENSGALG00000018800
ENSG00000102452	ENSGALG00000016868
ENSG00000134330	ENSGALG00000016425
ENSG00000152193	ENSGALG00000016911
ENSG00000076382	ENSGALG00000026433
ENSG00000144962	ENSGALG00000009148
ENSG00000145723	ENSGALG00000015257
ENSG00000153406	ENSGALG00000007827
ENSG00000078140	ENSGALG00000014290
ENSG00000225921	ENSGALG00000012695
ENSG00000153037	ENSGALG00000000218
ENSG00000100100	ENSGALG00000006942
ENSG00000166260	ENSGALG00000027190
ENSG00000093000	ENSGALG00000014222
ENSG00000164989	ENSGALG00000015103
ENSG00000164253	ENSGALG00000004350
ENSG00000186501	ENSGALG00000000955
ENSG00000111261	ENSGALG00000014147
ENSG00000147576	ENSGALG00000014185
ENSG00000198865	ENSGALG00000023503
ENSG00000130313	ENSGALG00000028734
ENSG00000244038	ENSGALG00000010073
ENSG00000070610	ENSGALG00000002412
ENSG00000164500	ENSGALG00000013084
ENSG00000145391	ENSGALG00000009800
ENSG00000057757	ENSGALG00000003986
ENSG00000106012	ENSGALG00000004329
ENSG00000074201	ENSGALG00000008574
ENSG00000115816	ENSGALG00000010603
ENSG00000134900	ENSGALG00000016865
ENSG00000101222	ENSGALG00000026730
ENSG00000005448	ENSGALG00000026435
ENSG00000023608	ENSGALG00000011868
ENSG00000250317	ENSGALG00000022991
ENSG00000160075	ENSGALG00000001489
ENSG00000163959	ENSGALG00000007478
ENSG00000100629	ENSGALG00000010562
ENSG00000164880	ENSGALG00000004104
ENSG00000150782	ENSGALG00000007874
ENSG00000168818	ENSGALG00000015012
ENSG00000121064	ENSGALG00000003185
ENSG00000113621	ENSGALG00000021181
ENSG00000111361	ENSGALG00000003259
ENSG00000119041	ENSGALG00000007958
ENSG00000151445	ENSGALG00000010459
ENSG00000205758	ENSGALG00000015992
ENSG00000221182	ENSGALG00000025283
ENSG00000154814	ENSGALG00000011239
ENSG00000097046	ENSGALG00000006051
ENSG00000171861	ENSGALG00000004799
ENSG00000099968	ENSGALG00000013037
ENSG00000230055	ENSGALG00000029107
ENSG00000138698	ENSGALG00000012222
ENSG00000053328	ENSGALG00000015060
ENSG00000157353	ENSGALG00000002648
ENSG00000125534	ENSGALG00000005849
ENSG00000198663	ENSGALG00000000551
ENSG00000197057	ENSGALG00000020139
ENSG00000135346	ENSGALG00000015824
ENSG00000147654	ENSGALG00000016107
ENSG00000161981	ENSGALG00000026559
ENSG00000185883	ENSGALG00000009229
ENSG00000113119	ENSGALG00000000846
ENSG00000126790	ENSGALG00000012011
ENSG00000165633	ENSGALG00000006174
ENSG00000196449	ENSGALG00000029001
ENSG00000138381	ENSGALG00000002402
ENSG00000235568	ENSGALG00000011872
ENSG00000185798	ENSGALG00000006395
ENSG00000126106	ENSGALG00000010110
ENSG00000204356	ENSGALG00000028300
ENSG00000149308	ENSGALG00000017162
ENSG00000143624	ENSGALG00000027046
ENSG00000069712	ENSGALG00000005977
ENSG00000062485	ENSGALG00000026880
ENSG00000120942	ENSGALG00000003358
ENSG00000057468	ENSGALG00000011392
ENSG00000215912	ENSGALG00000001081
ENSG00000173692	ENSGALG00000007664
ENSG00000213930	ENSGALG00000026195
ENSG00000107537	ENSGALG00000014565
ENSG00000114744	ENSGALG00000028001
ENSG00000164919	ENSGALG00000019445
ENSG00000076003	ENSGALG00000012348
ENSG00000177000	ENSGALG00000004612
ENSG00000152944	ENSGALG00000027435
ENSG00000172992	ENSGALG00000000870
ENSG00000124228	ENSGALG00000006974
ENSG00000106692	ENSGALG00000015443
ENSG00000222011	ENSGALG00000008301
ENSG00000146909	ENSGALG00000006437
ENSG00000148248	ENSGALG00000028265
ENSG00000114686	ENSGALG00000011603
ENSG00000162600	ENSGALG00000010861
ENSG00000110723	ENSGALG00000027243
ENSG00000133265	ENSGALG00000028146
ENSG00000204186	ENSGALG00000027444
ENSG00000178802	ENSGALG00000001700
ENSG00000133958	ENSGALG00000010874
ENSG00000109501	ENSGALG00000015529
ENSG00000162882	ENSGALG00000009926
ENSG00000178163	ENSGALG00000014954
ENSG00000177425	ENSGALG00000010320
ENSG00000164326	ENSGALG00000028845
ENSG00000196455	ENSGALG00000011574
ENSG00000101189	ENSGALG00000005531
ENSG00000198727	ENSGALG00000018360
ENSG00000188566	ENSGALG00000008920
ENSG00000108298	ENSGALG00000001658
ENSG00000171953	ENSGALG00000004926
ENSG00000113456	ENSGALG00000003365
ENSG00000102897	ENSGALG00000002273
ENSG00000155275	ENSGALG00000015594
ENSG00000123575	ENSGALG00000008872
ENSG00000111554	ENSGALG00000009905
ENSG00000150873	ENSGALG00000027528
ENSG00000163617	ENSGALG00000015121
ENSG00000169599	ENSGALG00000000033
ENSG00000150551	ENSGALG00000012176
ENSG00000104522	ENSGALG00000016129
ENSG00000163728	ENSGALG00000008889
ENSG00000158122	ENSGALG00000012624
ENSG00000108651	ENSGALG00000003260
ENSG00000170322	ENSGALG00000001306
ENSG00000153823	ENSGALG00000002963
ENSG00000122026	ENSGALG00000027035
ENSG00000100526	ENSGALG00000012220
ENSG00000164654	ENSGALG00000010699
ENSG00000117155	ENSGALG00000008763
ENSG00000143198	ENSGALG00000003445
ENSG00000139351	ENSGALG00000012766
ENSG00000106410	ENSGALG00000019041
ENSG00000248712	ENSGALG00000021327
ENSG00000204952	ENSGALG00000019738
ENSG00000207311	ENSGALG00000017843
ENSG00000112208	ENSGALG00000026605
ENSG00000119698	ENSGALG00000010950
ENSG00000048649	ENSGALG00000027969
ENSG00000122490	ENSGALG00000012650
ENSG00000064313	ENSGALG00000016423
ENSG00000116691	ENSGALG00000023653
ENSG00000145348	ENSGALG00000010564
ENSG00000022277	ENSGALG00000007709
ENSG00000103043	ENSGALG00000002458
ENSG00000115459	ENSGALG00000029074
ENSG00000119720	ENSGALG00000010677
ENSG00000157017	ENSGALG00000008411
ENSG00000102543	ENSGALG00000017004
ENSG00000128463	ENSGALG00000027181
ENSG00000174989	ENSGALG00000008207
ENSG00000152492	ENSGALG00000020813
ENSG00000039123	ENSGALG00000014709
ENSG00000164975	ENSGALG00000011323
ENSG00000164062	ENSGALG00000002784
ENSG00000151917	ENSGALG00000016283
ENSG00000113845	ENSGALG00000024480
ENSG00000166405	ENSGALG00000005971
ENSG00000046647	ENSGALG00000016574
ENSG00000164109	ENSGALG00000011967
ENSG00000003249	ENSGALG00000000528
ENSG00000049540	ENSGALG00000001071
ENSG00000185127	ENSGALG00000011193
ENSG00000196712	ENSGALG00000005660
ENSG00000234465	ENSGALG00000026884
ENSG00000196419	ENSGALG00000011932
ENSG00000111639	ENSGALG00000014435
ENSG00000158234	ENSGALG00000012082
ENSG00000096080	ENSGALG00000010296
ENSG00000140832	ENSGALG00000012886
ENSG00000207804	ENSGALG00000021806
ENSG00000089289	ENSGALG00000020330
ENSG00000109534	ENSGALG00000020164
ENSG00000108439	ENSGALG00000027346
ENSG00000164609	ENSGALG00000001500
ENSG00000163781	ENSGALG00000011725
ENSG00000155858	ENSGALG00000003714
ENSG00000010404	ENSGALG00000009154
ENSG00000110514	ENSGALG00000008181
ENSG00000094914	ENSGALG00000013597
ENSG00000118242	ENSGALG00000003758
ENSG00000175595	ENSGALG00000002981
ENSG00000211448	ENSGALG00000026005
ENSG00000156928	ENSGALG00000010954
ENSG00000134419	ENSGALG00000006771
ENSG00000007202	ENSGALG00000003766
ENSG00000252947	ENSGALG00000025671
ENSG00000184232	ENSGALG00000006715
ENSG00000119979	ENSGALG00000009336
ENSG00000138138	ENSGALG00000003652
ENSG00000114767	ENSGALG00000001422
ENSG00000175707	ENSGALG00000000902
ENSG00000147174	ENSGALG00000020322
ENSG00000166263	ENSGALG00000003033
ENSG00000158062	ENSGALG00000000519
ENSG00000155438	ENSGALG00000011650
ENSG00000111669	ENSGALG00000014526
ENSG00000113734	ENSGALG00000002882
ENSG00000134001	ENSGALG00000009565
ENSG00000116161	ENSGALG00000004554
ENSG00000133980	ENSGALG00000010232
ENSG00000174177	ENSGALG00000006303
ENSG00000164258	ENSGALG00000028026
ENSG00000167325	ENSGALG00000017350
ENSG00000130414	ENSGALG00000004302
ENSG00000159650	ENSGALG00000006306
ENSG00000162976	ENSGALG00000016449
ENSG00000023909	ENSGALG00000005782
ENSG00000170854	ENSGALG00000015420
ENSG00000197417	ENSGALG00000004637
ENSG00000214960	ENSGALG00000010795
ENSG00000111364	ENSGALG00000003298
ENSG00000186132	ENSGALG00000012113
ENSG00000164512	ENSGALG00000014717
ENSG00000197386	ENSGALG00000015635
ENSG00000157911	ENSGALG00000001223
ENSG00000137812	ENSGALG00000004522
ENSG00000140474	ENSGALG00000023857
ENSG00000102931	ENSGALG00000025933
ENSG00000111911	ENSGALG00000027628
ENSG00000143653	ENSGALG00000010641
ENSG00000187695	ENSGALG00000005026
ENSG00000136045	ENSGALG00000012631
ENSG00000113048	ENSGALG00000015002
ENSG00000205693	ENSGALG00000026372
ENSG00000161980	ENSGALG00000017681
ENSG00000207698	ENSGALG00000018286
ENSG00000173702	ENSGALG00000011806
ENSG00000174780	ENSGALG00000011403
ENSG00000117090	ENSGALG00000024118
ENSG00000199060	ENSGALG00000024507
ENSG00000100385	ENSGALG00000012472
ENSG00000037637	ENSGALG00000003731
ENSG00000149476	ENSGALG00000005227
ENSG00000180992	ENSGALG00000010285
ENSG00000119965	ENSGALG00000000011
ENSG00000167183	ENSGALG00000027402
ENSG00000055070	ENSGALG00000003734
ENSG00000132952	ENSGALG00000017079
ENSG00000169064	ENSGALG00000028207
ENSG00000121350	ENSGALG00000013173
ENSG00000104412	ENSGALG00000016097
ENSG00000178922	ENSGALG00000010021
ENSG00000069943	ENSGALG00000004421
ENSG00000124587	ENSGALG00000008571
ENSG00000109917	ENSGALG00000007101
ENSG00000187778	ENSGALG00000000495
ENSG00000125356	ENSGALG00000008613
ENSG00000172409	ENSGALG00000007370
ENSG00000064201	ENSGALG00000006550
ENSG00000145041	ENSGALG00000002398
ENSG00000149548	ENSGALG00000000412
ENSG00000078237	ENSGALG00000026776
ENSG00000162736	ENSGALG00000009147
ENSG00000143384	ENSGALG00000028249
ENSG00000068120	ENSGALG00000028866
ENSG00000112149	ENSGALG00000027133
ENSG00000182919	ENSGALG00000017219
ENSG00000100209	ENSGALG00000005706
ENSG00000008311	ENSGALG00000008953
ENSG00000181523	ENSGALG00000007027
ENSG00000133706	ENSGALG00000007494
ENSG00000179256	ENSGALG00000011743
ENSG00000002822	ENSGALG00000004224
ENSG00000120498	ENSGALG00000005775
ENSG00000137574	ENSGALG00000015340
ENSG00000171227	ENSGALG00000012111
ENSG00000199089	ENSGALG00000021772
ENSG00000118518	ENSGALG00000026820
ENSG00000008018	ENSGALG00000011174
ENSG00000114850	ENSGALG00000028683
ENSG00000183751	ENSGALG00000005558
ENSG00000140006	ENSGALG00000011827
ENSG00000163956	ENSGALG00000015612
ENSG00000167515	ENSGALG00000006250
ENSG00000196072	ENSGALG00000005794
ENSG00000185742	ENSGALG00000017155
ENSG00000122203	ENSGALG00000003370
ENSG00000166575	ENSGALG00000017241
ENSG00000069248	ENSGALG00000011091
ENSG00000182551	ENSGALG00000025796
ENSG00000148843	ENSGALG00000008265
ENSG00000148690	ENSGALG00000006622
ENSG00000104047	ENSGALG00000005673
ENSG00000081087	ENSGALG00000015306
ENSG00000130706	ENSGALG00000005200
ENSG00000175166	ENSGALG00000006294
ENSG00000187676	ENSGALG00000017076
ENSG00000167767	ENSGALG00000010252
ENSG00000145494	ENSGALG00000013191
ENSG00000101438	ENSGALG00000003541
ENSG00000154122	ENSGALG00000012964
ENSG00000122376	ENSGALG00000028439
ENSG00000198695	ENSGALG00000018357
ENSG00000142684	ENSGALG00000000542
ENSG00000167005	ENSGALG00000003084
ENSG00000074842	ENSGALG00000004263
ENSG00000129282	ENSGALG00000005405
ENSG00000185056	ENSGALG00000026347
ENSG00000181016	ENSGALG00000009446
ENSG00000060140	ENSGALG00000014759
ENSG00000147854	ENSGALG00000015052
ENSG00000163803	ENSGALG00000010032
ENSG00000147471	ENSGALG00000003101
ENSG00000101457	ENSGALG00000003575
ENSG00000188126	ENSGALG00000002444
